id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
475302,130120,AM,COARI,Postos do Cadastro Unico,,,Ceará 0,0,Prédio,Prox.ao CRAS,Urucu,69460000,"-4.08999\,-63.1405",2023-01-06T04:57:16.139Z
475485,150760,PA,SÃO MIGUEL DO GUAMÁ,CADASTRO UNICO,,,LAURO SODRÉ 0,0,,PROXIMO A PREFEITURA MUNICIPAL DE SÃO MIGUEL DO GUAMÁ,SÃO MANOEL,68660000,"-1.627\,-47.483",2023-01-06T04:57:16.241Z
475576,240400,RN,FRUTUOSO GOMES,CADASTRO UNICO DE FRUTUOSO GOMES,,,RUA JOAQUIM INACIO 167,167,,,CENTRO,59890000,"-6.158518177277328\,-37.83996105194092",2023-01-06T04:57:16.241Z
475625,261160,PE,RECIFE,Central do Cadastro Único,,,Dr. João Vieira de Menezes 00000,00000,,"Esquina com a Avenida Cruz Cabugá.
Prédio da Antiga Faculdade Fama.",Santo Amaro,50040140,"-8.051342066016785\,-34.879035651683814",2023-01-06T04:57:16.139Z
475706,290100,BA,AMARGOSA,"Central do Bolsa Família ",,,Deraldo Bulhões 381,381,,,Centro,45300000,"-13.03\,-39.605",2023-01-06T04:57:16.241Z
475729,352440,SP,JACAREÍ," Posto de Cadastro Único",,,Carlos Navarro da Cruz 53,53,,Próximo a Clínica UNIMATER,Jardim Mesquita,12327690,"-23.300038758103412\,-45.96714019775391",2023-01-06T04:57:16.241Z
475746,210005,MA,AÇAILÂNDIA,PROGRAMA BOLSA FAMÍLIA/CADASTRO ÚNICO,,,Bernardo Sayao 1218,1218,,Anexo a SEMAS,Jacu,65930000,"-4.947\,-47.505",2023-01-06T04:57:16.241Z
475758,292070,BA,MARAÚ,BOLSA FAMÍLIA,,,RUI BARBOSA 76,76,,,CENTRO,45520000,"-14.101678205296924\,-39.01721477508545",2023-01-06T04:57:14.121Z
475765,354260,SP,REGISTRO,CENTRAL DO CADASTRO UNICO,,,CORONEL JEREMIAS MUNIZ JUNIOR 68,68,,,CENTRO,11900000,"-24.497175609709117\,-47.844101786613464",2023-01-06T04:57:16.241Z
475794,211180,MA,SÍTIO NOVO,NÚCLEO DE CADASTRAMENTO ÚNICO DE SITIO NOVO,,,LEONTINO NASCIMENTO 0,0,,,CENTRO,65925000,"-5.878\,-46.699",2023-01-06T04:57:16.241Z
475803,230400,CE,COREAÚ,Posto do Cadastro Unico/PBF,,,Joaquim Machado 00,00,,Proximo a igreja,Centro,62160000,"-3.533\,-40.657",2023-01-06T04:57:16.241Z
475841,211223,MA,TRIZIDELA DO VALE,Postos do Cadastro Único,,,candido nunes 5,5,,proximo ao januario construçoes,centro,65727000,"-4.538\,-44.628",2023-01-06T04:57:16.241Z
475865,230960,CE,PACAJUS,CADASTRO ÚNICO DOS PROGRAMAS SOCIAIS,,,João Facundo 69,69,,,Centro,62870000,"-4.168584801866403\,-38.46159517765046",2023-01-06T04:57:16.241Z
475877,130060,AM,BENJAMIN CONSTANT,CADASTRO ÚNICO - BOLSA FAMÍLIA,,,AMERICO MACIEL 00,00,,AO LADO DO CENTRO DE CONVIVÊNCIA DA FAMÍLIA,COLONIA,69630000,"-4.3889933808531865\,-70.02963960170747",2023-01-06T04:57:16.241Z
475936,230920,CE,NOVA OLINDA,CADASTRO ÚNICO PROGRAMA BOLSA FAMÍLIA,,,PEDRO ANTONIO 157,157,,,CENTRO,63165000,"-7.091140329129277\,-39.68223094940186",2023-01-06T04:57:16.241Z
475972,260110,PE,ARARIPINA,Central de Atendimento do Cadastro Único,,,Rua Francisco Ramos Nogueira 199,199,Casa,"Próximo ao Fórum, Comarca Única no Município. ",Centro,56280000,"-7.575371817584599\,-40.49556255340577",2023-01-06T04:57:16.241Z
475984,510515,MT,JUÍNA,Central do Cadastro Único de Programas Sociais,,,Das Andorinhas 214,214,Anexo a SMAS,"ANEXO A SECRETARIA DE ASSISTENCIA SOCIAL ",Módulo 04,78320000,"-11.41510274466436\,-58.752978444104556",2023-01-06T04:57:16.139Z
475988,280480,SE,NOSSA SENHORA DO SOCORRO,Unidade Descentralizada de Atendimento do CADÚNICO,,,avenida I 570,570,João Alves,,João Alves,49160000,"-10.85605585855375\,-37.08283782005311",2023-01-06T04:57:16.139Z
475997,270660,AL,PAULO JACINTO,Coordenação Municipal do Cadastro Único e Bolsa Famiília,,,João Cassiano Costa 0,0,,,Centro,57740000,"-9.370570045332629\,-36.37021511793137",2023-01-06T04:57:16.241Z
476002,270570,AL,OLHO D'ÁGUA DAS FLORES,CADUNICO E PBF,,,RUA CÔNEGO JOSÉ BULHOES 848,848,,"VIZINHO A SECRETARIA DE EDUCAÇÃO ",CENTRO,57442000,"-9.531950545312874\,-37.29374527931214",2023-01-06T04:57:16.241Z
476010,210315,MA,CENTRO DO GUILHERME,POSTO DO CADASTRO ÚNICO,,,DO POEIRÃO 0,0,,PRÓXIMO À ESCOLA CICERO JOSÉ,CENTRO,65288000,"-2.369\,-46.002",2023-01-06T04:57:16.139Z
476023,250970,PB,MONTEIRO,CADASTRO UNICO / PROGRAMA AUXILIO BRASIL,,,PROFESSORA MARIA DA SALETE 261,261,,,ALTO SÃO VICENTE,58500000,"-7.897990291486331\,-37.1211987733841",2023-01-06T04:57:16.241Z
476026,352940,SP,MAUÁ,Central de Cadastro Unico,,,Almirante Tamandaré 589,589,,Próximo ao Hospital Nardine,Vila Bocaina,09310350,"-23.6691477\,-46.4524417",2023-01-06T04:57:16.241Z
476099,210400,MA,ESPERANTINÓPOLIS,Posto do Cadastro Único,,,BAHIA 000,000,,Se localiza no final do bairro próximo a AABB,PEDRO JOVITA,65750000,"-4.883\,-44.688",2023-01-06T04:57:16.241Z
476146,410430,PR,CAMPO MOURÃO,SECRETARIA  DE ASSISTÊNCIA SOCIAL - DIVISÃO DE CADASTRO UNICO,,,BRASIL 560,560,,,JARDIM LAURA,87300115,"-24.049336360774273\,-52.372657733940294",2023-01-06T04:57:16.241Z
476290,290500,BA,CACULÉ,Setor do Cadastro Único e Programa Bolsa Família,,,Santos Dumont 00,00,,,Centro,46300000,"-14.50403405350951\,-42.2220253944397",2023-01-06T04:57:16.139Z
476317,291685,BA,ITATIM,Cadastramento Único,,,Rui Barbosa 44,44,,Centro Administrativo,Centro,46875000,"-12.69192334073348\,-39.68879699707031",2023-01-06T04:57:16.139Z
476340,270340,AL,JACARÉ DOS HOMENS,ID_POSTO_CADASTRAMENTO E PROGRAMA BOLSA FAMILIA,,,JOSÉ TEÓFILO SILVA 142,142,CASA,Vizinho à antiga prefeitura,CENTRO,57430000,"-9.63470542641534\,-37.20565080642701",2023-01-06T04:57:16.139Z
476341,311330,MG,CARANGOLA,CADASTRO UNICO DE CARANGOLA,,,PEDRO DE OLIVEIRA 212,212,,,CENTRO,36800000,"-20.7321995\,-42.0327386",2023-01-06T04:57:16.241Z
476418,522205,GO,VICENTINÓPOLIS,Programa Auxílio Brasil e Cadastro Único para Programas do Governo Federal,,,Marginal Filostro Machado Carneiro 933,933,,,Setor Leste,75555000,"-17.736608363426388\,-49.799909591674805",2023-01-06T04:57:16.139Z
476453,350550,SP,BARRETOS,Gestão Municipal do Cadastro Único,,,30 564,564,,,centro,14780900,"-20.55567249526818\,-48.576929569244385",2023-01-06T04:57:16.139Z
476463,320090,ES,BARRA DE SÃO FRANCISCO,CADASTRO ÚNICO,,,DESEMBARGADOR DANTON BASTOS 4,4,,"ANTIGA CÂMARA MUNICIPAL - AO LADO DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL
PRÓXIMO À LOTERIA E A CAIXA ECONÔMICA FEDERAL",CENTRO,29800000,"-18.7700197\,-40.8993605",2023-01-06T04:57:16.241Z
476489,350600,SP,BAURU,Central de Atendimento ao Usuário,,,Das Cerejeiras 128,128,,Em frente a Prefeitura Municipal de Bauru,Vila Noemy,17014500,"-22.331260791038357\,-49.07005101442338",2023-01-06T04:57:16.241Z
476517,150390,PA,JURUTI,Setor de Cadastramento Único para Programas Sociais do Governo Federal,,,Marechal Rondon 68,68,,,CENTRO,68170000,"-2.1525991578425097\,-56.09207153320313",2023-01-06T04:57:16.241Z
